Location,Production,Startup
Gross,29.1,01.04.10
Oberbüren,29.1,30.09.15
Birri,29.1,23.06.15
Neftenbach,29.1,23.02.15
Sent,29.2,14.11.11
Meikirch,29.2,23.06.16
Schüpfheim,29.2,25.08.15
Wislikofen,29.2,26.10.10
Mauensee,29.2,09.09.16
Renens,29.3,17.12.13
Bürglen,29.3,09.11.11
Arlesheim,29.3,28.02.12
Egg b. Einsiedeln,29.3,16.06.08
Grône,29.3,12.01.10
Jenins,29.3,16.08.10
Ostermundigen,29.3,08.11.11
Zweisimmen,29.3,20.09.11
Wölflinswil,29.3,23.10.09
Gorduno,29.3,21.07.11
Urnäsch,29.3,12.10.11
Inkwil,29.3,06.04.11
Disentis,29.3,15.11.11
Kappel,29.3,20.09.13
Les Vieux-Prés,29.3,10.08.12
Obfelden,29.3,24.03.15
Stansstad,29.3,08.05.12
Näfels,29.4,27.12.11
Malix,29.4,18.11.11
Full-Reuenthal,29.4,29.06.12
Aigle,29.4,02.09.09
Hugelshofen,29.4,25.05.11
Lüchingen,29.4,18.04.08
Wald,29.4,25.09.12
Wettingen,29.4,16.11.12
Glattfelden,29.4,20.09.10
Guntalingen,29.4,10.11.10
Tenna,29.4,16.01.15
Grindelwald,29.4,11.09.09
Rickenbach,29.4,20.03.15
Bellach,29.4,20.09.12
Matzingen,29.4,11.03.15
Hägendorf,29.4,29.02.12
Rebstein,29.4,18.02.12
Oberriet,29.4,30.03.15
Staufen,29.4,18.09.12
Ossingen,29.5,08.11.11
Goldiwil,29.5,09.01.09
Schmitten,29.5,31.07.12
Les Charbonnières,29.5,10.07.12
Realp,29.5,29.06.17
Scuol,29.5,10.07.14
Horgenberg,29.5,25.02.15
Erlinsbach,29.5,16.12.16
Krauchthal,29.5,22.12.11
Untervaz,29.5,29.09.15
Bonau,29.5,26.08.15
Uetendorf,29.5,28.12.11
Trun,29.6,29.01.16
Wünnewil,29.6,29.11.11
Längenbühl,29.6,31.10.11
Unterhörstetten,29.6,23.12.11
Maseltrangen,29.6,10.04.12
Kleinandelfingen,29.6,18.11.11
Luzein,29.6,21.11.11
Dietfurt,29.6,21.01.09
Klosters,29.6,21.12.10
Huttwil,29.6,11.11.11
Reichenbach,29.6,11.12.09
Berg,29.6,11.12.13
Gland,29.6,22.11.13
Oberkulm,29.6,13.12.13
Rivera,29.6,27.12.11
Rivera,29.6,27.12.11
Rifferswil,29.6,14.08.14
Schüpfheim,29.6,13.12.11
